DepMap_ID,stripped_cell_line_name,CCLE_Name,alias,COSMIC_ID,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,disease,disease_subtype,age,Sanger_model_ID,additional_info
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,ovary,ovary_adenocarcinoma,high_grade_serous,,Female,ATCC,,,,,,CVCL_0465,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60.0,SIDM00105,
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,blood,AML,M3,,Female,ATCC,,,,,,CVCL_0002,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35.0,SIDM00829,
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,"CACO2, CaCo-2",,colorectal,colorectal_adenocarcinoma,,,Male,ATCC,,,,,,CVCL_0025,Colon,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00891,
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,blood,AML,M6,,Male,DSMZ,2.0,-3.079202028,Suspension,RPMI-1640: 10%FBS,47.6,CVCL_0001,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30.0,SIDM00594,
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,AML,M6,,Male,ATCC,2.0,-2.404409173,Semi-adherent,RPMI; 10% FBS,13.4,CVCL_2481,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30.0,SIDM00593,
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,blood,AML,M5,,Male,DSMZ,,,,,,CVCL_1426,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64.0,SIDM01023,
ACH-000007,LS513,LS513_LARGE_INTESTINE,,907795.0,colorectal,colorectal_adenocarcinoma,,,Male,ATCC,2.0,-2.586707623,Adherent,RPMI 1640 + 10% FBS,52.3,CVCL_1386,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,63.0,SIDM00677,
ACH-000008,A101D,A101D_SKIN,,910921.0,skin,melanoma,,,Male,ATCC,,,,,,CVCL_1057,skin,,Skin Cancer,Melanoma,56.0,SIDM00801,
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,colorectal,colorectal_adenocarcinoma,,,Male,ATCC,3.0,-4.140109604,Adherent,D10+ITS+Glu,5.8,CVCL_1096,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72.0,SIDM01233,
ACH-000010,NCIH2077,NCIH2077_LUNG,NCI-H1581,,lung,NSCLC,NSCLC_adenocarcinoma,,Male,Academic lab,,,,,,CVCL_5157,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,
ACH-000011,253J,253J_URINARY_TRACT,,,urinary_tract,bladder_carcinoma,,,Male,KCLB,1.0,-3.18037938,Adherent,DMEM: 90.0%,11,CVCL_7935,lymph_node,Metastasis,Bladder Cancer,Carcinoma,53.0,,
ACH-000012,HCC827,HCC827_LUNG,,1240146.0,lung,NSCLC,NSCLC_adenocarcinoma,,Female,ATCC,3.0,-4.323350202,Adherentepithelialdensity >30%,RPMI; 10% FBS,12.7,CVCL_2063,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39.0,SIDM01067,
ACH-000013,ONCODG1,ONCODG1_OVARY,,,ovary,ovary_adenocarcinoma,high_grade_serous,,Female,DSMZ,2.0,-5.319862199,Adherent,RPMI; 10% FBS,8,CVCL_1882,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60.0,SIDM00093,
ACH-000014,HS294T,HS294T_SKIN,"A101D, Hs 294.T",,skin,melanoma,,,Male,ATCC,2.0,-3.484986488,Adherent,DMEM: 90.0%; 10%FBS,15.1,CVCL_0331,lymph_node,Metastasis,Skin Cancer,Melanoma,56.0,SIDM00800,
ACH-000015,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471.0,lung,NSCLC,NSCLC_large_cell,,Male,ATCC,2.0,-4.226156938,Adherent,DMEM:F12 (1:1); 5% FBS,52.8,CVCL_1479,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44.0,SIDM00748,
ACH-000016,SLR21,SLR21_KIDNEY,,,kidney,renal_cell_carcinoma,,,Unknown,Academic lab,,,,,,CVCL_V607,kidney,Metastasis,Kidney Cancer,Renal Cell Carcinoma,,,
ACH-000017,SKBR3,SKBR3_BREAST,,,breast,breast_carcinoma,ERneg_HER2pos,HER2_amp,Female,ATCC,2.0,-2.932250062,Semi-adherent,McCoy's 5A; 10% FBS,27.1,CVCL_0033,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,43.0,SIDM00897,
